"","Borough","Neighborhood","eat_index","study_index","subway_index","health_index","Happiness_Index"
"9","Manhattan","Chelsea and Clinton",9.98368616220382,2.05761316872428,10.9263657957245,0,5.89193092177539
"27","Brooklyn","Northwest Brooklyn",5.02231197413833,4.23280423280423,6.41330166270784,3.33333333333333,4.86496083014795
"21","Manhattan","Lower East Side",5.91998294835044,3.46854791299236,1.90023752969121,6.66666666666667,4.12796555580849
"3","Brooklyn","Bushwick and Williamsburg",1.95492789939527,4.23280423280423,2.61282660332542,8.33333333333333,4.11134149738461
"6","Brooklyn","Central Brooklyn",2.79548677814,5.70252792475015,3.24623911322249,3.33333333333333,3.91039413368646
"42","Queens","West Queens",5.20676491404493,2.70429159318048,3.24623911322249,5,3.82651219472988
"11","Brooklyn","East New York and New Lots",1.07119336953165,3.29218106995885,2.85035629453682,6.66666666666667,3.39033321658836
"19","Queens","Jamaica",1.96667823482635,2.99823633156966,2.53365003958828,6.66666666666667,3.38623489164599
"7","Manhattan","Central Harlem",1.45130305754658,3.11581422692534,2.53365003958828,6.66666666666667,3.31843322479674
"12","Brooklyn","Flatbush",2.34870076814402,3.76249265138154,1.97941409342835,5,3.19231217707177
"13","Manhattan","Gramercy Park and Murray Hill",6.05087621978046,0.705467372134039,3.48376880443389,3.33333333333333,3.13361276359314
"2","Bronx","Bronx Park and Fordham",1.79397563035084,3.46854791299236,2.85035629453682,3.33333333333333,2.92113305499559
"22","Manhattan","Lower Manhattan",2.12298502242128,0.764256319811875,6.41330166270784,1.66666666666667,2.9111977325735
"18","Manhattan","Inwood and Washington Heights",2.1981325164573,2.82186948853616,4.27553444180523,1.66666666666667,2.90218101572721
"14","Brooklyn","Greenpoint",2.23556963166797,1.46972369194591,2.21694378463975,6.66666666666667,2.88644750264263
"34","Brooklyn","Southern Brooklyn",2.22354603262221,2.4103468547913,2.29612034837688,5,2.8566493674749
"16","Bronx","High Bridge and Morrisania",1.30210112393325,4.58553791887125,1.82106096595408,3.33333333333333,2.84906655690092
"15","Manhattan","Greenwich Village and Soho",5.44969626749229,0.529100529100529,3.87965162311956,1.66666666666667,2.74589823249782
"32","Bronx","Southeast Bronx",2.04975037368799,3.88007054673721,1.18764845605701,3.33333333333333,2.59693244224253
"39","Manhattan","Upper East Side",3.18324784736588,1.35214579659024,2.77117973079968,3.33333333333333,2.54031389435682
"28","Queens","Northwest Queens",3.88881450046045,2.29276895943563,3.56294536817102,0,2.53447719837408
"5","Bronx","Central Bronx",0.951503906303372,4.93827160493827,1.74188440221694,1.66666666666667,2.52768091674057
"40","Manhattan","Upper West Side",2.43778470652854,2.29276895943563,3.72129849564529,0,2.29177717782998
"17","Bronx","Hunts Point and Mott Haven",1.12529956523759,3.40975896531452,3.00870942201108,0,2.1506004292452
"36","Queens","Southwest Queens",2.31426955269479,1.99882422104644,3.56294536817102,0,2.1313847873042
"10","Manhattan","East Harlem",1.19525505059476,3.0570252792475,0.870942201108472,3.33333333333333,2.08410792089241
"41","Queens","West Central Queens",2.30525185341047,1.82245737801293,1.90023752969121,1.66666666666667,1.91119217632667
"1","Brooklyn","Borough Park",2.17244573667772,1.94003527336861,2.13776722090261,0,1.65782989561691
"35","Brooklyn","Southwest Brooklyn",2.14320652990734,1.64609053497942,1.90023752969121,0,1.49253972538266
"25","Bronx","Northeast Bronx",1.07638537821051,2.4103468547913,0.475059382422803,1.66666666666667,1.41423228013967
"24","Queens","North Queens",3.60134117782083,1.64609053497942,0.395882818685669,0,1.33286024166369
"31","Staten Island","South Shore",1.20345295903505,1.52851263962375,1.97941409342835,0,1.29306861172264
"33","Queens","Southeast Queens",1.03512257239436,2.4103468547913,0,1.66666666666667,1.2634619042496
"38","Brooklyn","Sunset Park",2.09647845179766,0.999412110523222,1.66270783847981,0,1.21793167506044
"37","Staten Island","Stapleton and St. George",0.971452150174752,1.2933568489124,0.791765637371338,1.66666666666667,1.15316050925341
"30","Queens","Rockaways",0.516468231738476,1.64609053497942,1.82106096595408,0,1.14343909662775
"4","Brooklyn","Canarsie and Flatlands",1.16519605298035,1.94003527336861,0.316706254948535,0,0.910061669091212
"20","Bronx","Kingsbridge and Riverdale",0.658838574984902,1.35214579659024,0.712589073634204,0,0.751188176064314
"23","Staten Island","Mid-Island",0.659385102214255,0.823045267489712,0,1.66666666666667,0.712123934023098
"29","Staten Island","Port Richmond",0.618942087242142,0.646678424456202,0,1.66666666666667,0.651125278118622
"26","Queens","Northeast Queens",0.952323697147401,1.11699000587889,0,0,0.525561741193149
"8","Queens","Central Queens",0.57986539034341,1.23456790123457,0,0,0.486343448439052
