"","Borough","Neighborhood","Total_Number_of_Complaints","Hygiene_Index"
"1","Manhattan","Lower Manhattan",3337,0.312709675726532
"2","Manhattan","Gramercy Park and Murray Hill",10374,0.972145692534326
"3","Queens","Northeast Queens",10474,0.981516674725711
"4","Bronx","Kingsbridge and Riverdale",10584,0.991824755136235
"5","Manhattan","East Harlem",10963,1.02734077764159
"6","Brooklyn","Sunset Park",11693,1.0957489476387
"7","Queens","Central Queens",12243,1.14728934969132
"8","Manhattan","Upper East Side",13383,1.25411854667311
"9","Manhattan","Greenwich Village and Soho",13409,1.25655500204287
"10","Queens","Rockaways",14380,1.34754723912123
"11","Staten Island","Mid-Island",14702,1.37772180177749
"12","Manhattan","Upper West Side",16189,1.51706830696339
"13","Staten Island","Port Richmond",16767,1.5712325840296
"14","Manhattan","Lower East Side",17160,1.60806054404174
"15","Brooklyn","Greenpoint",17318,1.62286669590413
"16","Bronx","Hunts Point and Mott Haven",17778,1.6659732139845
"17","Manhattan","Chelsea and Clinton",19968,1.87119772397585
"18","Manhattan","Central Harlem",20962,1.96434528695822
"19","Brooklyn","Southwest Brooklyn",22768,2.13358522533464
"20","Queens","Northwest Queens",24223,2.2699330162193
"21","Brooklyn","Canarsie and Flatlands",24464,2.29251708330054
"22","Bronx","Northeast Bronx",24870,2.33056327099756
"23","Bronx","High Bridge and Morrisania",25328,2.37348236943411
"24","Queens","Southeast Queens",25339,2.37451317747516
"25","Staten Island","Stapleton and St. George",25701,2.40843613300797
"26","Bronx","Central Bronx",28679,2.68750398266743
"27","Manhattan","Inwood and Washington Heights",29153,2.7319224382546
"28","Queens","North Queens",30565,2.86424070679696
"29","Queens","West Central Queens",31770,2.97716104220316
"30","Brooklyn","Bushwick and Williamsburg",31777,2.97781701095655
"31","Brooklyn","East New York and New Lots",32483,3.04397614522773
"32","Bronx","Bronx Park and Fordham",32641,3.05878229709012
"33","Brooklyn","Southern Brooklyn",33117,3.10338817232112
"34","Staten Island","South Shore",35374,3.31489124038069
"35","Bronx","Southeast Bronx",36817,3.45011451340238
"36","Brooklyn","Northwest Brooklyn",37035,3.4705432545796
"37","Brooklyn","Borough Park",41286,3.86890370753539
"38","Queens","West Queens",41491,3.88811422102773
"39","Queens","Southwest Queens",44114,4.13391508390777
"40","Brooklyn","Flatbush",48724,4.56591736293064
"41","Queens","Jamaica",49602,4.64819458657101
"42","Brooklyn","Central Brooklyn",58119,5.44632113981131
